size,mflop
31,26999.7
32,54372.7
96,48866.5
97,18499
127,19294
128,47602.5
129,20895.8
191,26917.8
192,48869.1
229,27828
255,28951.5
256,36827.6
257,22441
319,31518.7
320,48612.4
321,23641.9
417,32911.8
479,35515.3
480,38248.7
511,30347.2
512,32443
639,41772
640,47332.4
767,45355.5
768,44256.7
769,44131.2
1023,38055.7
1024,32937.4
1025,47127.3
1525,48612.3
1526,48636.9
1527,42504.4
