size,mflop
31,28764
32,56765.4
96,51024.4
97,19373.9
127,24501.6
128,51445.1
129,21754.6
191,25110.2
192,52348.1
229,29093.1
255,30579.6
256,47285.1
257,29047
319,32820.2
320,50983.6
321,31515.4
417,34731.7
479,36347.2
480,49656.3
511,31551
512,34808.7
639,42682.8
640,50301.4
767,45070.8
768,47345.4
769,46719.4
1023,38666.2
1024,34971.3
1025,49154
1525,50830.9
1526,50817
1527,51158.8
