size,mflop
31,11268.9
32,11183.2
96,9351.97
97,11937.2
127,11267.4
128,8457.39
129,11462.4
191,11611.9
192,9103.62
229,11615.3
255,11807.9
256,9483.61
257,11363
319,11666.6
320,11104.9
321,11618.9
417,9796.6
479,10729.7
480,10324.2
511,7564.06
512,10134.1
639,7332.25
640,8562.45
767,7145.12
768,7170.3
769,8192.33
1023,7587.92
1024,7831.36
1025,7777.99
1525,7917.31
1526,7814.75
1527,7907.29
