size,mflop
31,26488.3
32,33957.8
96,38845.2
97,33906.1
127,34152.3
128,36624.5
129,33754.8
191,36099.7
192,31532.4
229,35448.3
255,34112.6
256,32446
257,33030.8
319,36410.1
320,37322.3
321,36061.1
417,35524.7
479,35783.6
480,29988.5
511,29453.2
512,16492.6
639,34841.4
640,25790.5
767,33752.3
768,31450.4
769,24335.3
1023,28920.5
1024,15898.4
1025,27437.9
1525,33000.8
1526,36906
1527,36418.5
