size,mflop
31,26107.2
32,39923.6
96,36635.8
97,33339.9
127,25186.9
128,36650.1
129,33456.2
191,24207.6
192,35734.6
229,33868.4
255,33250.4
256,34448.8
257,33434.9
319,33840.6
320,29821.1
321,34115.3
417,33368.1
479,23445.9
480,32767.5
511,29486.1
512,27084.8
639,30694.6
640,30901.5
767,30907.1
768,30584
769,30828
1023,24755.8
1024,26396.8
1025,28401.2
1525,32345.4
1526,30157.5
1527,32414
