size,mflop
31,27203.4
32,30457.6
96,37948.8
97,33898.6
127,34024.3
128,38435.3
129,35266.6
191,35624.6
192,27231.9
229,35373.8
255,35648.1
256,36043.6
257,35051.3
319,34914.9
320,36470.8
321,35854.5
417,33799.1
479,28352.7
480,34269.3
511,31025.7
512,27977.9
639,32613.5
640,32612
767,32377.9
768,32586.6
769,24178.6
1023,29682.6
1024,27569.3
1025,30082.6
1525,34132
1526,33640.7
1527,30781.1
