size,mflop
31,26769
32,41847.4
96,35953.1
97,24930.9
127,34233.9
128,31869.4
129,34094.3
191,34182.7
192,27548.9
229,33420.6
255,33836.5
256,34482.3
257,33035.4
319,29348.9
320,34683.9
321,26139.7
417,32566
479,32134
480,24398.7
511,29585.5
512,27209.9
639,30786.2
640,31173.7
767,26509.8
768,22592.3
769,30385.4
1023,24465.7
1024,26162.5
1025,28430.1
1525,31384.7
1526,29853.6
1527,31556.1
