size,mflop
31,27579
32,41561.9
96,37744.1
97,34313.3
127,26609.9
128,37401.1
129,33872.8
191,25268.2
192,36818.1
229,34777.4
255,26457.8
256,35477.1
257,33944.4
319,35007.2
320,35866.1
321,34997.3
417,33850.2
479,28490.6
480,33834.9
511,30247.3
512,27751.5
639,31547.5
640,31952.6
767,32000.7
768,32081.4
769,24622.2
1023,30026.5
1024,27310.2
1025,29329.3
1525,30624.6
1526,34507.5
1527,30822.4
