size,mflop
31,25621.8
32,50077.9
96,46721.8
97,15299
127,22596
128,45909.1
129,15101.5
191,26013
192,46694.5
229,23110.8
255,28202.8
256,42195.7
257,26743.4
319,30297.6
320,45985.1
321,29212.3
417,32200.7
479,28720.2
480,44849.1
511,28488.7
512,33549.8
639,38213.4
640,31114.4
767,41009.2
768,42433.8
769,40803.2
1023,35204.6
1024,34307.5
1025,44752.8
1525,40473.2
1526,45901.8
1527,46005.8
